ID,SEX_FEMALE,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
1,1,0,1,0,0,1,0,0,20000.00,24.00,2,2,-1,-1,-2,-2,3913.00,3102.00,689.00,0.00,0.00,0.00,0.00,689.00,0.00,0.00,0.00,0.00,1
2,1,0,1,0,0,0,1,0,120000.00,26.00,-1,2,0,0,0,2,2682.00,1725.00,2682.00,3272.00,3455.00,3261.00,0.00,1000.00,1000.00,1000.00,0.00,2000.00,1
3,1,0,1,0,0,0,1,0,90000.00,34.00,0,0,0,0,0,0,29239.00,14027.00,13559.00,14331.00,14948.00,15549.00,1518.00,1500.00,1000.00,1000.00,1000.00,5000.00,0
4,1,0,1,0,0,1,0,0,50000.00,37.00,0,0,0,0,0,0,46990.00,48233.00,49291.00,28314.00,28959.00,29547.00,2000.00,2019.00,1200.00,1100.00,1069.00,1000.00,0
5,0,0,1,0,0,1,0,0,50000.00,57.00,-1,0,-1,0,0,0,8617.00,5670.00,35835.00,20940.00,19146.00,19131.00,2000.00,36681.00,10000.00,9000.00,689.00,679.00,0
6,0,1,0,0,0,0,1,0,50000.00,37.00,0,0,0,0,0,0,64400.00,57069.00,57608.00,19394.00,19619.00,20024.00,2500.00,1815.00,657.00,1000.00,1000.00,800.00,0
7,0,1,0,0,0,0,1,0,500000.00,29.00,0,0,0,0,0,0,350110.68,337495.28,325030.39,304997.27,285868.33,279505.06,55000.00,40000.00,38000.00,20239.00,13750.00,13770.00,0
8,1,0,1,0,0,0,1,0,100000.00,23.00,0,-1,-1,0,0,-1,11876.00,380.00,601.00,221.00,-159.00,567.00,380.00,601.00,0.00,581.00,1687.00,1542.00,0
9,1,0,0,1,0,1,0,0,140000.00,28.00,0,0,2,0,0,0,11285.00,14096.00,12108.00,12211.00,11793.00,3719.00,3329.00,0.00,432.00,1000.00,1000.00,1000.00,0
10,0,0,0,1,0,0,1,0,20000.00,35.00,-2,-2,-2,-2,-1,-1,0.00,0.00,0.00,0.00,13007.00,13912.00,0.00,0.00,0.00,13007.00,1122.00,0.00,0
11,1,0,0,1,0,0,1,0,200000.00,34.00,0,0,2,0,0,-1,11073.00,9787.00,5535.00,2513.00,1828.00,3731.00,2306.00,12.00,50.00,300.00,3738.00,66.00,0
12,1,1,0,0,0,0,1,0,260000.00,51.00,-1,-1,-1,-1,-1,2,12261.00,21670.00,9966.00,8517.00,22287.00,13668.00,21818.00,9966.00,8583.00,22301.00,0.00,3640.00,0
13,1,0,1,0,0,0,1,0,500000.00,41.00,-1,0,-1,-1,-1,-1,12137.00,6500.00,6500.00,6500.00,6500.00,2870.00,1000.00,6500.00,6500.00,6500.00,2870.00,0.00,0
14,0,0,1,0,0,0,1,0,70000.00,30.00,1,2,2,0,0,2,65802.00,67369.00,65701.00,66782.00,36137.00,36894.00,3200.00,0.00,3000.00,3000.00,1500.00,0.00,1
15,0,1,0,0,0,0,1,0,250000.00,29.00,0,0,0,0,0,0,70887.00,67060.00,63561.00,59696.00,56875.00,55512.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,0
16,1,0,0,1,0,0,0,1,50000.00,23.00,1,2,0,0,0,0,50614.00,29173.00,28116.00,28771.00,29531.00,30211.00,0.00,1500.00,1100.00,1200.00,1300.00,1100.00,0
17,0,1,0,0,0,0,1,0,20000.00,24.00,0,0,2,2,2,2,15376.00,18010.00,17428.00,18338.00,17905.00,19104.00,3200.00,0.00,1500.00,0.00,1650.00,0.00,1
18,0,1,0,0,0,1,0,0,320000.00,49.00,0,0,0,-1,-1,-1,253286.00,246536.00,194663.00,70074.00,5856.00,195599.00,10358.00,10000.00,70000.00,20000.00,65607.56,50000.00,0
19,1,1,0,0,0,1,0,0,360000.00,49.00,1,-2,-2,-2,-2,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
20,1,1,0,0,0,0,1,0,180000.00,29.00,1,-2,-2,-2,-2,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
21,1,0,0,1,0,0,1,0,130000.00,39.00,0,0,0,0,0,-1,38358.00,27688.00,24489.00,20616.00,11802.00,930.00,3000.00,1537.00,1000.00,2000.00,930.00,33764.00,0
22,1,0,1,0,0,1,0,0,120000.00,39.00,-1,-1,-1,-1,-1,-1,316.00,316.00,316.00,0.00,632.00,316.00,316.00,316.00,0.00,632.00,316.00,0.00,1
23,1,0,1,0,0,0,1,0,70000.00,26.00,2,0,0,2,2,2,41087.00,42445.00,45020.00,44006.00,46905.00,46012.00,2007.00,3582.00,0.00,3601.00,0.00,1820.00,1
24,1,1,0,0,0,1,0,0,450000.00,40.00,-2,-2,-2,-2,-2,-2,5512.00,19420.00,1473.00,560.00,0.00,0.00,19428.00,1473.00,560.00,0.00,0.00,1128.00,1
25,0,1,0,0,0,0,1,0,90000.00,23.00,0,0,0,-1,0,0,4744.00,7070.00,0.00,5398.00,6360.00,8292.00,5757.00,0.00,5398.00,1200.00,2045.00,2000.00,0
26,0,0,0,1,0,0,1,0,50000.00,23.00,0,0,0,0,0,0,47620.00,41810.00,36023.00,28967.00,29829.00,30046.00,1973.00,1426.00,1001.00,1432.00,1062.00,997.00,0
27,0,1,0,0,0,0,1,0,60000.00,27.00,1,-2,-1,-1,-1,-1,-81.00,-200.00,259.00,-57.00,127.00,-189.00,0.00,1000.00,0.00,500.00,0.00,1000.00,1
28,1,0,0,1,0,0,1,0,50000.00,30.00,0,0,0,0,0,0,22541.00,16138.00,17163.00,17878.00,18931.00,19617.00,1300.00,1300.00,1000.00,1500.00,1000.00,1012.00,0
29,1,0,0,1,0,1,0,0,50000.00,47.00,-1,-1,-1,-1,-1,-1,650.00,3415.00,3416.00,2040.00,30430.00,257.00,3415.00,3421.00,2044.00,30430.00,257.00,0.00,0
30,0,1,0,0,0,0,1,0,50000.00,26.00,0,0,0,0,0,0,15329.00,16575.00,17496.00,17907.00,18375.00,11400.00,1500.00,1500.00,1000.00,1000.00,1600.00,0.00,0
31,1,1,0,0,0,0,1,0,230000.00,27.00,-1,-1,-1,-1,-1,-1,16646.00,17265.00,13266.00,15339.00,14307.00,36923.00,17270.00,13281.00,15339.00,14307.00,37292.00,0.00,0
32,0,0,1,0,0,0,1,0,50000.00,33.00,2,0,0,0,0,0,30518.00,29618.00,22102.00,22734.00,23217.00,23680.00,1718.00,1500.00,1000.00,1000.00,1000.00,716.00,1
33,0,1,0,0,0,0,1,0,100000.00,32.00,0,0,0,0,0,0,93036.00,84071.00,82880.00,80958.00,78703.00,75589.00,3023.00,3511.00,3302.00,3204.00,3200.00,2504.00,0
34,1,0,1,0,0,1,0,0,500000.00,54.00,-2,-2,-2,-2,-2,-2,10929.00,4152.00,22722.00,7521.00,71439.00,8981.00,4152.00,22827.00,7521.00,67054.44,981.00,51582.00,0
35,0,1,0,0,0,1,0,0,500000.00,58.00,-2,-2,-2,-2,-2,-2,13709.00,5006.00,31130.00,3180.00,0.00,5293.00,5006.00,31178.00,3180.00,0.00,5293.00,768.00,0
36,0,1,0,0,0,0,1,0,160000.00,30.00,-1,-1,-2,-2,-2,-1,30265.00,-131.00,-200.00,-212.02,-232.01,-331.03,131.00,396.00,396.00,565.00,792.00,0.00,0
37,0,0,1,0,0,1,0,0,280000.00,40.00,0,0,0,0,0,0,186503.00,181328.00,180422.00,170410.00,173901.00,177413.00,8026.00,8060.00,6300.00,6400.00,6400.00,6737.00,0
38,1,0,1,0,0,0,1,0,60000.00,22.00,0,0,0,0,0,-1,15054.00,9806.00,11068.00,6026.00,-232.01,18660.00,1500.00,1518.00,2043.00,0.00,47671.00,617.00,0
39,0,1,0,0,0,0,1,0,50000.00,25.00,1,-1,-1,-2,-2,-2,0.00,780.00,0.00,0.00,0.00,0.00,780.00,0.00,0.00,0.00,0.00,0.00,1
40,0,1,0,0,0,0,1,0,280000.00,31.00,-1,-1,2,-1,0,-1,498.00,9075.00,4641.00,9976.00,17976.00,9477.00,9075.00,0.00,9976.00,8000.00,9525.00,781.00,0
41,0,1,0,0,0,0,1,0,360000.00,33.00,0,0,0,0,0,0,218668.00,221296.00,206895.00,304997.27,195969.00,179224.00,10000.00,7000.00,6000.00,67054.44,28000.00,4000.00,0
42,1,1,0,0,0,0,1,0,70000.00,25.00,0,0,0,0,0,0,67521.00,66999.00,63949.00,63699.00,64718.00,65970.00,3000.00,4500.00,4042.00,2500.00,2800.00,2500.00,0
43,0,0,1,0,0,0,1,0,10000.00,22.00,0,0,0,0,0,0,1877.00,3184.00,6003.00,3576.00,3670.00,4451.00,1500.00,2927.00,1000.00,300.00,1000.00,500.00,0
44,1,0,1,0,0,1,0,0,140000.00,37.00,0,0,0,0,0,0,59504.00,61544.00,62925.00,64280.00,67079.00,69802.00,3000.00,3000.00,3000.00,4000.00,4000.00,3000.00,0
