delay_count,max_delay,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,LIMIT_BAL,avg_pay_amt,avg_payment_ratio,credit_utilization,PAY_AMT1,PAY_AMT2,PAY_AMT3,default payment next month
2,2,2,2,-1,-1,-2,-2,-1.1506780766767153,-0.7369318992170524,-0.733470957988912,-0.8805255293293188,-0.5333083158273113,-0.42543805000780477,-0.4764979052621887,1
2,2,-1,2,0,0,0,2,-0.36688364109744304,-0.6192038333437306,-0.344717856056955,-0.9964030977802181,-0.5333083158273113,-0.3953653984336342,-0.3718983207598655,1
0,0,0,0,0,0,0,0,-0.6020219717712247,-0.45485971355118837,-0.6229927041054802,-0.5254491267648828,-0.37234756368929145,-0.3470170840057073,-0.3718983207598655,0
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.5266817532744164,-0.7343522991960539,1.1429790069067638,-0.32123881366918233,-0.29683153362951914,-0.3509784038594008,0
0,0,-1,0,-1,0,0,0,-0.9155397460029336,0.856807354869483,0.6312840379499074,-0.021036553187331636,-0.32123881366918233,3.054867015772086,0.5694979397610437,0
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.5435039496506554,-0.7329055758672403,1.2076703917785863,-0.2682214381296501,-0.31655764591611335,-0.40777597824416234,0
0,0,0,0,0,0,0,0,2.6115352141037915,4.1805565771942295,-0.6547170544611588,0.7323766904288054,5.298602993521234,3.375803126944665,3.498286305826095,0
0,0,0,-1,-1,0,0,-1,-0.5236425282132975,-0.6249113642570975,2.0335991625706122,-0.9999565122235949,-0.49301511041726676,-0.43394735334711987,-0.4764979052621887,0
1,2,0,0,2,0,0,0,-0.2101247539815886,-0.5711131063655541,-0.6052201987578627,-0.8420732754058756,-0.18031862948510569,-0.492062027289488,-0.4313108847571851,0
0,-1,-2,-2,-2,-2,-1,-1,-1.1506780766767153,-0.36990216009911137,0.4129887753648073,-0.4221756178473302,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,0
1,2,0,0,2,0,0,-1,0.2601519073659747,-0.5790053381070037,-0.22004836174891224,-0.9820781224826555,-0.28879217983898864,-0.49090166774321775,-0.47126792603707257,0
1,2,-1,-1,-1,-1,-1,2,0.730428568713538,1.0550416462576626,0.6248922922167611,-0.9021462062375762,1.7801578832157172,0.47161657588795114,0.4212803285212517,0
0,0,-1,0,-1,-1,-1,-1,2.6115352141037915,-0.11754190569517593,0.04475386381348261,-1.0251680234688292,-0.4272735647482468,0.13646606027356178,0.20339939400291238,0
4,2,1,2,2,0,0,2,-0.7587808588870791,-0.46354389934281826,-0.7432267987133736,1.2439649031827587,-0.193997112374305,-0.492062027289488,-0.16269915175521898,1
0,0,0,0,0,0,0,0,0.6520491251556109,-0.2641899487802461,-0.7171642923607492,-0.351370992213439,-0.2152040625901179,-0.20197214072192657,-0.16269915175521898,0
2,2,1,2,0,0,0,0,-0.9155397460029336,-0.586433320922486,-0.7356942655781296,0.8098088333146852,-0.5333083158273113,-0.3470170840057073,-0.36143836230963317,0
4,2,0,0,2,2,2,2,-1.1506780766767153,-0.5823370068698304,-0.6947642097547553,1.4680436736257765,-0.193997112374305,-0.492062027289488,-0.31959852850870385,1
0,0,0,0,0,-1,-1,-1,1.2007052300611014,5.415091690529015,0.6241319854534341,0.37589649808739817,0.5649996358496384,0.47490426126905017,6.845473009900439,0
1,1,1,-2,-2,-2,-2,-2,1.5142230042928102,-0.7557476350989171,-0.7858225133871714,-1.0642948615206922,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,0
1,1,1,-2,-2,-2,-2,-2,0.10339302025012029,-0.7557476350989171,-0.7858225133871714,-1.0642948615206922,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,0
0,0,0,0,0,0,0,-1,-0.28850419753951584,0.39752862328573807,0.47523787409734625,-0.6096679706049714,-0.2152040625901179,-0.3434393087380407,-0.3718983207598655,0
0,-1,-1,-1,-1,-1,-1,-1,-0.36688364109744304,-0.7125997937442782,0.9818972781084737,-1.0567570747869603,-0.4998013344863269,-0.4615058925710382,-0.4764979052621887,1
4,2,2,0,0,2,2,2,-0.7587808588870791,-0.45507818363399666,-0.725808713514565,0.7450124920221236,-0.3204965704116289,-0.14569470272781965,-0.4764979052621887,1
0,-2,-2,-2,-2,-2,-2,-2,2.2196379963141553,-0.13887004752933602,1.3308922074704768,-1.0357074607770214,1.526734828136753,-0.34962789298481534,-0.41792213794088773,1
0,0,0,0,0,-1,0,0,-0.6020219717712247,-0.3078839653419057,0.8637133439815377,-0.8953890693428017,0.07713374613486282,-0.492062027289488,0.08813065188135216,0
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.5402542071688818,-0.7336046360496583,0.980401351031988,-0.3241017519483171,-0.3541726345410405,-0.37179372117536313,0
1,1,1,-2,-1,-1,-1,-1,-0.8371603024450064,-0.6874757342213238,2.7496170696041187,-1.0642948615206922,-0.5333083158273113,-0.3953653984336342,-0.4764979052621887,1
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.56152773148234,-0.6951252676644716,0.006910506737383261,-0.3954631394245275,-0.36635640977687806,-0.3718983207598655,0
0,-1,-1,-1,-1,-1,-1,-1,-0.9155397460029336,0.3247780857105748,1.950269081350857,-0.6806501413250826,-0.17119964089230613,-0.16126285997361212,-0.26269635453944,0
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.575509816782071,-0.6942719958140212,-0.1379867455728666,-0.37425618920871456,-0.3470170840057073,-0.3718983207598655,0
0,-1,-1,-1,-1,-1,-1,-1,0.4952902380397564,1.9065561027633557,0.7467366893561059,-0.8283584031141881,1.297911835308132,0.7921659005451066,1.1279551214189474,0
1,2,2,0,0,0,0,0,-0.9155397460029336,-0.5663886908248246,-0.7223072449516761,0.384763535101548,-0.3511406134734785,-0.3470170840057073,-0.3718983207598655,1
0,0,0,0,0,0,0,0,-0.5236425282132975,-0.24387223107907438,-0.7322116664582785,1.2983575996128214,-0.2127652633152994,-0.15256016337658526,-0.13111007723551737,0
